               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.022995,            0.013706,                   0,             0.94277,             0.86842,             0.94135,             0.71576,            0.024114,            0.011292,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.022924,            0.013047,                   0,             0.93706,             0.88147,             0.93609,             0.68271,            0.025644,            0.011637,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.024496,            0.013648,                   0,             0.93437,             0.84868,             0.94112,             0.68562,            0.023345,            0.011031,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.023544,            0.014138,                   0,             0.96237,              0.8412,             0.93651,             0.68392,            0.024326,            0.010835,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.022372,            0.012608,                   0,                0.93,             0.88158,             0.93616,             0.68367,            0.023836,             0.01059,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.023711,            0.013448,                   0,             0.97163,             0.90122,             0.96089,             0.70952,             0.02272,            0.010421,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,             0.02318,            0.012578,                   0,             0.94984,               0.875,              0.9447,             0.70148,            0.023844,             0.01079,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,             0.02369,            0.014652,                   0,             0.94536,             0.91447,             0.95281,             0.71517,            0.023058,             0.00991,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.022562,            0.011601,                   0,             0.89341,             0.82895,             0.92153,             0.68458,            0.024198,            0.012211,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.021836,            0.012407,                   0,             0.84993,             0.89421,             0.93548,             0.70425,            0.022951,            0.011724,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.021361,             0.01278,                   0,             0.97689,             0.84211,              0.9458,             0.71214,             0.02341,             0.01171,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.022005,            0.012101,                   0,             0.90492,             0.88158,             0.93268,             0.69117,            0.023553,            0.012284,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.022749,            0.013075,                   0,             0.89041,             0.85524,             0.92719,             0.69128,            0.023911,            0.013205,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.022902,            0.013013,                   0,             0.94915,             0.86184,             0.94601,             0.71439,            0.023029,            0.011266,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.021812,            0.011547,                   0,             0.89319,             0.88158,             0.93652,             0.69365,            0.023211,            0.012046,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.022046,            0.014092,                   0,              0.9635,             0.86836,             0.95651,              0.7044,            0.023111,            0.010274,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.021734,            0.012583,                   0,              0.8931,             0.88816,             0.94418,             0.69794,            0.023523,            0.010933,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,            0.021123,            0.011256,                   0,             0.89464,             0.89474,             0.94577,             0.71135,            0.022901,            0.010871,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,            0.020584,             0.01066,                   0,             0.87523,             0.88158,             0.93035,             0.69573,            0.023382,            0.012408,                   0,            0.009274,            0.009274,            0.009274
                  57,            0.022177,            0.012783,                   0,             0.91608,             0.86183,             0.92325,             0.68815,            0.023268,            0.012616,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,             0.02199,            0.012618,                   0,             0.94281,             0.86842,             0.92687,             0.69771,            0.023667,            0.012008,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,            0.022067,            0.011904,                   0,             0.96124,              0.8157,             0.92439,             0.68303,             0.02362,            0.013183,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,            0.022454,            0.012489,                   0,             0.91944,             0.90103,             0.95915,             0.70892,            0.022716,            0.010468,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,            0.021355,            0.013566,                   0,             0.94394,             0.88816,              0.9396,             0.71878,            0.022908,            0.011083,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,             0.02103,            0.012552,                   0,             0.89387,             0.88816,             0.92185,             0.68921,            0.022529,              0.0118,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,            0.020823,            0.012176,                   0,             0.89995,             0.88816,             0.93306,             0.68723,            0.023704,            0.012469,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,            0.021026,            0.011684,                   0,             0.92303,             0.86784,             0.93195,              0.6847,            0.023251,            0.011489,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,            0.021187,            0.011882,                   0,             0.93015,             0.87606,             0.94086,             0.71052,            0.022233,            0.010975,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,            0.020162,            0.011542,                   0,             0.95714,             0.88153,             0.94072,             0.72075,            0.022026,            0.011734,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,            0.020546,            0.011557,                   0,             0.94999,             0.87489,             0.94227,             0.72619,            0.022148,            0.010958,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,             0.02096,            0.011733,                   0,              0.9222,             0.86842,             0.93752,             0.71199,            0.021673,            0.011661,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,            0.020659,            0.011474,                   0,              0.9489,             0.85521,             0.92765,             0.69959,            0.022604,            0.012769,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,            0.020546,            0.010587,                   0,             0.93617,             0.86841,              0.9433,             0.71261,            0.022134,            0.011641,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,            0.020561,            0.012055,                   0,             0.97661,             0.82895,             0.93642,              0.6941,            0.022671,            0.012587,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,            0.020055,             0.01166,                   0,             0.94813,              0.8418,             0.95025,             0.72168,            0.021842,            0.011849,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,            0.020935,            0.013317,                   0,             0.94652,             0.82237,             0.92017,             0.68821,            0.022955,             0.01351,                   0,           0.0087804,           0.0087804,           0.0087804
